-53.687	106.671	-9999.29	2 10	103.54	423.09	11	325.57	434.93	
-62.0715	109.408	-9999.21	2 10	103.54	423.09	11	325.57	434.93	
165.899	-151.049	-9997.48	2 10	87.38	404.38	11	310.36	416.34	
177.586	-153.63	-9997.24	2 10	87.38	404.38	11	310.36	416.34	
229.876	-108.682	-9996.77	2 10	81.93	407.88	11	305.84	419.07	
251.641	-102.822	-9996.3	2 10	81.93	407.88	11	305.84	419.07	
254.072	-154.933	-9995.57	2 10	80.8	404.52	11	304.28	415.83	
268.451	-149.823	-9995.27	2 10	80.8	404.52	11	304.28	415.83	
379.196	-139.075	-9991.84	2 10	71.57	405.29	11	295.62	416.57	
-189.907	360.175	-9991.71	2 10	112.85	441.16	11	334.81	452.38	
-202.208	354.791	-9991.66	2 10	112.85	441.16	11	334.81	452.38	
395.08	-136.433	-9991.26	2 10	71.57	405.29	11	295.62	416.57	
427.486	-103.079	-9990.33	2 10	67.79	407.52	11	292.21	418.9	
446.007	-104.116	-9989.51	2 10	67.79	407.52	11	292.21	418.9	
498.897	-143.561	-9986.52	2 10	63.54	404.53	11	287.4	415.93	
505.146	-144.852	-9986.18	2 10	63.54	404.53	11	287.4	415.93	
-65.9174	-596.74	-9981.96	2 10	105.67	373.47	11	329.54	386.34	
-95.8138	-597.143	-9981.7	2 10	105.67	373.47	11	329.54	386.34	
596.659	147.391	-9981.1	2 10	54.51	425.54	11	279.95	435.57	
-597.478	156.866	-9980.9	2 10	142.27	427.16	11	363.13	439.89	
-599.404	156.237	-9980.8	2 10	142.27	427.16	11	363.13	439.89	
201.147	-595.364	-9980.23	2 10	84.68	372.67	11	308.96	385.77	
619.729	150.769	-9979.64	2 10	54.51	425.54	11	279.95	435.57	
226.19	-599.797	-9979.43	2 10	84.68	372.67	11	308.96	385.77	
-222.959	-602.793	-9979.33	2 10	116.88	373.34	11	340.19	386.37	
-248.32	-601.685	-9978.79	2 10	116.88	373.34	11	340.19	386.37	
14.0809	657.548	-9978.35	2 10	97.04	462.29	11	318.99	472.73	
22.8613	658.502	-9978.27	2 10	97.04	462.29	11	318.99	472.73	
-693.285	-115.997	-9975.26	2 10	150.22	408.01	11	370.52	421.15	
48.4797	702.944	-9975.15	2 10	94.39	465.65	11	316.48	475.78	
58.3075	705.497	-9974.91	2 10	94.39	465.65	11	316.48	475.78	
-134.801	-702.829	-9974.36	2 10	111.16	366.14	11	332.5	379.14	
-706.029	-118.879	-9974.34	2 10	150.22	408.01	11	370.52	421.15	
-140.119	-702.668	-9974.3	2 10	111.16	366.14	11	332.5	379.14	
-639.794	331.131	-9974.02	2 10	145.49	439.46	11	365.8	452.22	
58.147	-724.414	-9973.56	2 10	97.01	364.19	11	319.8	376.96	
-26.7552	-727	-9973.5	2 10	101.61	363.99	11	325.04	377.24	
-648.554	330.524	-9973.47	2 10	145.49	439.46	11	365.8	452.22	
-5.85866	-729.171	-9973.38	2 10	101.61	363.99	11	325.04	377.24	
48.8332	-728.664	-9973.3	2 10	97.01	364.19	11	319.8	376.96	
-703.33	-316.773	-9970.2	2 10	151.32	394.27	11	371.67	407.19	
-717.063	-315.666	-9969.26	2 10	151.32	394.27	11	371.67	407.19	
-781.339	-107.089	-9968.85	2 10	156.48	409.04	11	376.8	422.02	
-668.776	426.247	-9968.5	2 10	147.31	447.3	11	367.69	459	
104.849	791.704	-9968.06	2 10	89.95	471.88	11	312.33	481.79	
117.273	792.252	-9967.88	2 10	89.95	471.88	11	312.33	481.79	
-795.219	-105.754	-9967.77	2 10	156.48	409.04	11	376.8	422.02	
-676.447	441.45	-9967.32	2 10	147.31	447.3	11	367.69	459	
826.195	-99.2327	-9965.32	2 10	38.23	407.36	11	264.84	418.04	
730.096	-410.816	-9964.85	2 10	44.83	385.57	11	272.19	397.05	
845.898	-98.4306	-9963.67	2 10	38.23	407.36	11	264.84	418.04	
848.903	70.2414	-9963.66	2 10	35.72	420.51	11	262.84	429.55	
811.509	-264.024	-9963.52	2 10	39.46	395.7	11	266.26	406.84	
765.413	-403.537	-9962.49	2 10	44.83	385.57	11	272.19	397.05	
833.83	-260.759	-9961.76	2 10	39.46	395.7	11	266.26	406.84	
794.684	-365.894	-9961.66	2 10	40.88	388.79	11	267.66	399.94	
874.191	84.515	-9961.36	2 10	35.72	420.51	11	262.84	429.55	
-758.062	466.591	-9960.3	2 10	153.99	449.6	11	374.02	462.17	
817.305	-357.291	-9960.14	2 10	40.88	388.79	11	267.66	399.94	
-457.313	-779.942	-9959.04	2 10	133.97	361.19	11	355.29	374.46	
-809.205	-404.236	-9959.01	2 10	158.44	388.15	11	379.44	401.35	
-771.487	472.924	-9958.97	2 10	153.99	449.6	11	374.02	462.17	
-459.257	-781.846	-9958.81	2 10	133.97	361.19	11	355.29	374.46	
-909.294	-36.7506	-9958.51	2 10	164.4	414	11	386.15	427.2	
-816.085	-405.324	-9958.4	2 10	158.44	388.15	11	379.44	401.35	
276.185	870.059	-9958.25	2 10	76.08	477.95	11	300.19	486.66	
-913.204	-38.5153	-9958.14	2 10	164.4	414	11	386.15	427.2	
607.503	-683.898	-9958.07	2 10	55.71	366.81	11	281.22	378.72	
624.875	-669.471	-9957.98	2 10	55.71	366.81	11	281.22	378.72	
-725.032	559.62	-9957.97	2 10	150.84	455.7	11	371.48	468.61	
859.394	-324.584	-9957.72	2 10	36.2	391.48	11	263.13	402.58	
-728.501	559.815	-9957.71	2 10	150.84	455.7	11	371.48	468.61	
305.064	876.198	-9956.87	2 10	76.08	477.95	11	300.19	486.66	
878.948	-318.265	-9956.21	2 10	36.2	391.48	11	263.13	402.58	
790.935	528.269	-9954.66	2 10	39.28	452.8	11	265.54	461.17	
952.922	84.1624	-9954.14	2 10	27.23	420.93	11	255.67	430.2	
812.768	530.026	-9952.81	2 10	39.28	452.8	11	265.54	461.17	
876.347	443.732	-9951.64	2 10	33.34	446.62	11	259.91	455.08	
947.252	-265.412	-9951.5	2 10	28.1	395.47	11	256.97	406.37	
986.807	92.0135	-9950.77	2 10	27.23	420.93	11	255.67	430.2	
-509.224	857.448	-9950.15	2 10	134.98	476.78	11	355.49	488.83	
-510.606	858.154	-9950.02	2 10	134.98	476.78	11	355.49	488.83	
894.617	445.337	-9949.94	2 10	33.34	446.62	11	259.91	455.08	
