-84.4837	145.744	-9998.58	17 0	206.213	355.79	1	502.627	345.495	2	778.28	319.453	3	1217.76	277.132	4	2368.41	167.657	5	-3358.74	728.539	6	-702.617	485.913	7	-133.468	446.455	8	130.4	438.42	9	330.335	419.776	10	595.851	428.607	11	1156.15	482.421	12	-1782.75	172.542	13	-45.6306	330.272	14	237.335	340.979	15	674.55	300.595	16	1409.25	371.301	
146.591	-137.648	-9997.98	17 0	189.391	376.433	1	484.815	367.242	2	753.513	345.378	3	1169.93	313.704	4	2197.59	242.989	5	-3972.73	665.856	6	-754.449	458.466	7	-152.384	429.143	8	117.53	423.65	9	318.073	405.273	10	578.277	410.982	11	1102.75	450.17	12	-2028.05	214.984	13	-58.9916	343.256	14	229.312	351.319	15	652.451	318.406	16	1314.58	406.97	
250.95	146.645	-9995.78	17 0	181.747	355.708	1	476.004	346.575	2	741.408	321.856	3	1148.1	282.821	4	2125.43	190.714	5	-4315.07	819.659	6	-777.391	492.876	7	-160.259	448.582	8	112.07	439.16	9	312.847	419.821	10	570.72	427.682	11	1081.97	476.949	12	-2178.14	135.092	13	-65.5488	329.129	14	225.37	341.228	15	643.821	303.79	16	1256.92	376.882	
65.7966	-367.818	-9993.02	17 0	195.293	393.193	1	491.692	384.095	2	763.029	364.705	3	1187.27	339.399	4	2256.75	288.005	5	-3741.84	557.867	6	-737.353	431.592	7	-146.412	413.664	8	121.71	411.19	9	322.111	393.48	10	584.181	397.302	11	1119.26	427.781	12	-1923.86	272.544	13	-54.0062	354.476	14	232.355	359.457	15	659.212	330.468	16	1364.08	433.738	
442.371	-140.385	-9989.22	17 0	167.776	376.65	1	461.716	368.209	2	722.076	347.168	3	1112.23	317.445	4	2010.28	256.326	5	-5128.62	741.328	6	-825.513	462.892	7	-176.712	430.433	8	101.25	424.02	9	302.789	405.21	10	556.825	410.347	11	1042.65	446.924	12	-2460.92	187.135	13	-77.0564	342.702	14	218.797	351.661	15	626.96	320.656	16	1197.14	408.39	
80.0592	526.087	-9985.83	17 0	194.187	327.979	1	488.673	317.77	2	758.807	287.895	3	1181.52	235.737	4	2239.6	98.6849	5	-3766.84	922.811	6	-736.527	531.946	7	-145.65	472.62	8	121.81	459.34	9	321.99	439.371	10	583.544	451.111	11	1120.34	518.518	12	-1974.7	67.8718	13	-55.6096	311.231	14	231.172	327.379	15	660.027	280.894	16	1309.91	331.989	
575.46	18.7604	-9983.41	17 0	157.99	365.032	1	451.125	356.966	2	707.889	334.702	3	1087.24	301.727	4	1934.82	232.373	5	-5879.87	889.259	6	-859.449	484.69	7	-187.707	441.96	8	93.97	432.89	9	296.043	413.323	10	547.495	419.362	11	1018.15	460.367	12	-2725.71	121.938	13	-85.6586	334.422	14	213.911	346.082	15	616.339	313.315	16	1145.59	393.436	
189.369	607.123	-9979.76	17 0	186.18	322.007	1	479.837	312.232	2	746.618	282.024	3	1158.85	228.975	4	2162.42	92.0779	5	-4097.3	1002.85	6	-761.015	544.395	7	-154.305	478.932	8	115.87	464.04	9	316.332	443.521	10	575.416	455.495	11	1096.83	524.099	12	-2116.12	29.4564	13	-62.2685	306.709	14	227.184	324.524	15	650.237	277.731	16	1260.03	326.902	
396.469	-505.448	-9979.35	17 0	171.149	403.294	1	466.017	394.837	2	727.914	377.486	3	1121.98	357.275	4	2039.76	324.528	5	-4917.47	537.819	6	-815.684	418.946	7	-173.635	405.703	8	103.46	404.27	9	304.909	386.639	10	559.944	389.035	11	1050.13	412.737	12	-2362.86	289.745	13	-73.8335	360.741	14	220.73	364.622	15	630.098	339.538	16	1229.49	446.552	
655.3	-110.617	-9977.89	17 0	152.135	374.492	1	445.293	366.595	2	700.176	345.81	3	1073.39	316.577	4	1893.82	258.955	5	-6444.03	848.512	6	-881.678	470.337	7	-194.859	433.568	8	89.401	426.01	9	291.88	406.77	10	541.914	411.73	11	1003.25	447.669	12	-2891.12	149.433	13	-90.6398	340.695	14	211.184	350.777	15	609.779	320.557	16	1124.97	406.248	
